Country,Product,Flow,NoCountry,NoProduct,NoFlow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 Provisional
Australia,"Coal, peat and oil shale",Commercial and public services (PJ),01. Australia,"01. Coal, peat and oil shale",11. Commercial and public services (PJ),2.599999,3.9,3.937652,10.945811,10.706518,10.425831,10.203433,9.352156,9.366797,9.085285,8.701029,8.401346,8.270415999999999,8.200133,7.908953,7.43546,7.122907000000001,6.829403,6.642015000000001,6.158774,5.636488000000001,4.903434000000001,4.518688,4.285784,3.975446,3.414101,3.110416,2.418534,2.046081,2.071784,3.038717,3.065219,3.916019,2.818097,3.174109,2.467591,2.158848,1.870876,1.559512,0.652199,0.504798,0.306901,0.148698,0.2782,0.2895,0.324096,0.5129,0.5094,0.578,0.794496,0.213698,0.144198,0.151399,..
Australia,"Coal, peat and oil shale",Other final consumption (PJ),01. Australia,"01. Coal, peat and oil shale",12. Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,"Crude, NGL and feedstocks",Production (PJ),01. Australia,"02. Crude, NGL and feedstocks",01. Production (PJ),620.717714,663.64824,830.9092340000001,822.071682,880.9319270000001,904.127519,956.011186,949.5588710000001,951.5585500000001,891.936575,870.232124,857.3440860000001,833.873145,1003.113788,1160.607676,1206.827331,1198.029931,1195.116433,1081.195284,1215.252065,1216.28785,1201.070933,1189.359642,1119.50962,1187.567775,1167.102784,1181.571842,1303.770575,1049.126816,1419.76203,1466.045525,1380.336303,1347.210961,1194.682191,1074.859927,971.9197280000001,1084.871215,998.73671,1026.164826,1069.166859,1024.981343,961.077796,840.39095,803.930788,757.296967,735.460535,641.2786239999999,609.331017,721.888659,875.0328519999999,785.067186,806.790235,747.020964,695.340081
Australia,"Crude, NGL and feedstocks",Imports (PJ),01. Australia,"02. Crude, NGL and feedstocks",02. Imports (PJ),440.74452,379.704656,374.212098,385.458567,358.367153,363.120034,386.841224,442.172767,440.12157,435.819545,426.58055,464.726359,428.637898,314.444929,266.768929,212.0235,268.975749,343.480291,437.077616,427.463613,458.616776,565.1502489999999,716.479075,730.3795690000001,736.764711,850.818385,862.531695,872.380438,1026.083979,934.244725,970.721877,1007.142787,971.660381,808.328285,894.9963680000001,838.464093,869.446082,899.327797,832.316225,925.0958469999999,1087.107364,1008.830059,1025.185684,968.838801,846.736845,682.181956,697.3529599999999,767.2471899999999,744.6250220000001,630.806608,491.788152,359.452874,337.536395,335.788946
Australia,"Crude, NGL and feedstocks",Exports (PJ),01. Australia,"02. Crude, NGL and feedstocks",03. Exports (PJ),-24.153272,-14.258641,-0.777744,0,0,0,0,0,0,0,-3.102209,0,-1.954817,-36.653688,-198.277281,-177.751469,-201.152566,-226.918615,-172.025333,-245.172389,-320.386739,-356.168585,-394.035679,-369.887632,-434.259723,-421.433964,-499.301666,-594.968848,-569.927229,-810.761444,-985.319197,-895.842495,-736.7487510000001,-615.6306850000001,-552.234335,-457.656248,-561.1512439999999,-562.202361,-582.535802,-634.292789,-690.19385,-612.790515,-553.892522,-521.133353,-532.84004,-488.521388,-450.122186,-458.132777,-518.266145,-594.528744,-563.596147,-592.664446,-575.4977160000001,-538.52432
Australia,"Crude, NGL and feedstocks",Total energy supply (PJ),01. Australia,"02. Crude, NGL and feedstocks",04. Total energy supply (PJ),1051.352762,1029.094259,1204.343587,1207.530253,1239.29908,1267.247553,1342.85241,1388.491038,1390.211047,1325.359968,1276.10034,1325.343535,1259.086667,1270.815942,1214.120837,1245.302621,1259.649499,1313.985241,1353.438914,1384.743752,1361.259463,1411.108546,1508.418504,1482.971849,1477.358163,1588.277477,1553.765119,1560.248605,1522.119476,1531.413272,1412.236345,1507.576295,1580.694286,1420.208029,1422.369527,1347.53373,1381.133654,1343.337887,1277.027298,1335.99169,1438.987137,1368.086815,1318.830796,1254.972546,1082.207351,938.7690060000001,889.6549030000001,921.969404,936.047942,911.070933,730.018587,569.635673,511.318962,487.886967
Australia,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",01. Australia,"02. Crude, NGL and feedstocks","05. Electricity, CHP and heat plants (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043673,-0.043673,-0.043568,-0.043472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",01. Australia,"02. Crude, NGL and feedstocks","06. Oil refineries, transformation (PJ)",-1026.257329,-1021.184862,-1162.481537,-1159.961967,-1184.676944,-1207.922849,-1276.926023,-1271.635319,-1300.695303,-1266.557016,-1194.879255,-1234.219265,-1163.273943,-1180.020666,-1175.661759,-1164.398233,-1164.59307,-1212.955383,-1273.086828,-1284.330651,-1316.953649,-1368.302766,-1411.384875,-1428.934362,-1452.990844,-1524.236841,-1566.955938,-1616.956818,-1576.442758,-1571.650919,-1514.340452,-1570.656399,-1573.90665,-1488.29485,-1426.661286,-1354.423624,-1400.086138,-1363.296438,-1374.116937,-1340.486822,-1501.473716,-1440.254469,-1410.683549,-1333.327419,-1179.758154,-1007.55077,-978.352127,-1041.566832,-1038.771591,-930.3315699999999,-775.003986,-552.4710990000001,-527.44155,..
Australia,"Crude, NGL and feedstocks",Total final consumption (PJ),01. Australia,"02. Crude, NGL and feedstocks",07. Total final consumption (PJ),0,0,0,0,0,0.406953,0.497388,0.135652,0.045217,0.045217,0.090435,0.090435,0.090435,0.135652,0.135652,0.131018,0.17469,0.130699,0.130415,0.187719,0,0.08531000000000001,0.127965,0.127965,0.135209,0,0,0,0,0,0,0,0.129845,0.129845,0.692513,0.692513,0.735792,0.692513,0.6492300000000001,0.562664,0.60794,0.629536,0.60305,0.616942,0.6322190000000001,0.6142580000000001,0.618282,0.659316,0.627459,0,0,0,0,..
Australia,"Crude, NGL and feedstocks",Industry (PJ),01. Australia,"02. Crude, NGL and feedstocks",08. Industry (PJ),0,0,0,0,0,0.406953,0.497388,0.135652,0.045217,0.045217,0.090435,0.090435,0.090435,0.135652,0.135652,0.131018,0.17469,0.130699,0.130415,0.187719,0,0.08531000000000001,0.127965,0.127965,0.135209,0,0,0,0,0,0,0,0.129845,0.129845,0.692513,0.692513,0.735792,0.692513,0.6492300000000001,0.562664,0.60794,0.629536,0.60305,0.616942,0.6322190000000001,0.6142580000000001,0.618282,0.659316,0.627459,0,0,0,0,..
Australia,"Crude, NGL and feedstocks",Transport (PJ),01. Australia,"02. Crude, NGL and feedstocks",09. Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,"Crude, NGL and feedstocks",Residential (PJ),01. Australia,"02. Crude, NGL and feedstocks",10. Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,"Crude, NGL and feedstocks",Commercial and public services (PJ),01. Australia,"02. Crude, NGL and feedstocks",11. Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,"Crude, NGL and feedstocks",Other final consumption (PJ),01. Australia,"02. Crude, NGL and feedstocks",12. Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,Oil products,Production (PJ),01. Australia,03. Oil products,01. Production (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Oil products,Imports (PJ),01. Australia,03. Oil products,02. Imports (PJ),135.144001,143.377301,153.157699,182.7461,134.920099,152.5443,154.148501,147.597202,164.394501,176.903001,156.116599,110.589302,103.216699,94.527,104.073498,110.4962,156.395301,128.660699,156.219598,175.340701,116.019502,93.192901,120.0214,123.294302,136.095999,137.321798,159.778399,125.6014,152.792799,170.327301,177.148398,171.283102,204.305599,376.582999,406.8969,500.6275,459.913101,602.4046010000001,653.069901,667.4530990000001,622.4009540000001,761.83426,841.657352,868.622296,967.4759889999999,1147.365259,1198.718839,1281.437384,1272.134528,1275.976503,1274.533652,1488.342953,1743.57551,1838.124402
Australia,Oil products,Exports (PJ),01. Australia,03. Oil products,03. Exports (PJ),-80.62380100000001,-85.498199,-140.960199,-114.705601,-135.809199,-134.9013,-144.278899,-161.873499,-148.867402,-141.553502,-138.496602,-137.013599,-147.3239,-178.690401,-147.890102,-164.071201,-153.022101,-174.8474,-154.5235,-144.297899,-150.324098,-138.4729,-135.226899,-124.0028,-119.598998,-146.7589,-181.941899,-176.413502,-148.841402,-144.995001,-161.3496,-204.427502,-191.851699,-161.6389,-138.0068,-146.845198,-134.253699,-130.855101,-106.507599,-102.059798,-92.117417,-97.795132,-95.90472100000001,-87.33971700000001,-79.650374,-74.431394,-95.659789,-95.955126,-110.898455,-164.796798,-149.089817,-159.165255,-126.032862,-139.984427
Australia,Oil products,Total energy supply (PJ),01. Australia,03. Oil products,04. Total energy supply (PJ),-40.370499,-27.808299,-91.375101,-32.350901,-92.75630199999999,-72.669601,-88.496802,-63.99499900000001,-73.47710099999999,-66.193702,-74.628299,-79.57610000000001,-128.726499,-116.408502,-110.252202,-102.013601,-81.36789999999999,-111.03,-81.163898,-78.421402,-121.048799,-129.072998,-125.296898,-99.91709900000001,-114.3962,-114.885298,-152.9898,-186.0492,-128.4868,-101.518801,-130.837299,-146.824201,-100.052701,67.802601,123.1094,184.868502,162.041302,310.3153,375.434702,406.340801,367.948184,477.254651,565.109633,601.876298,694.803308,854.9474240000001,906.437662,922.023368,903.9635010000001,946.38516,1047.426774,1232.736866,1452.49408,1485.653047
Australia,Oil products,"Electricity, CHP and heat plants (PJ)",01. Australia,03. Oil products,"05. Electricity, CHP and heat plants (PJ)",-15.762,-17.465998,-18.062399,-48.521399,-46.5192,-47.924997,-49.501198,-55.167002,-56.572799,-48.223203,-46.85999700000001,-51.162604,-45.28380000000001,-44.091003,-39.064196,-33.824399,-25.389597,-20.021998,-26.582399,-39.618002,-40.512599,-28.328999,-28.754997,-29.138399,-33.185402,-31.353601,-24.750599,-24.878401,-21.044402,-21.9816,-25.219203,-23.856001,-26.837999,-33.142801,-34.506002,-36.9342,-35.4432,-50.225401,-37.689402,-58.348798,-55.760598,-35.72619900000001,-62.555799,-46.33199999999999,-57.110799,-51.1754,-50.74407100000001,-47.62808700000001,-48.30722400000001,-43.192163,-44.844237,-42.35495,-44.484754,..
Australia,Oil products,"Oil refineries, transformation (PJ)",01. Australia,03. Oil products,"06. Oil refineries, transformation (PJ)",947.576999,930.562401,1094.6714,1244.361499,1253.876898,1304.850602,1322.806502,1316.201201,1322.736,1267.083501,1235.134399,1254.869099,1207.3251,1212.149202,1213.525801,1178.501,1186.705202,1267.934699,1301.917698,1342.311501,1377.686101,1394.6082,1456.268799,1481.420301,1520.586299,1580.1374,1597.0312,1617.1429,1587.262299,1601.7403,1543.8167,1535.5601,1526.647199,1494.685498,1439.4075,1326.886199,1355.306801,1374.931601,1371.6242,1346.987901,1420.032057,1352.259434,1358.404756,1262.57935,1124.67395,956.7972659999999,925.0488419999999,966.884281,1030.321259,921.004481,757.1404980000001,551.001813,523.150428,..
Australia,Oil products,Total final consumption (PJ),01. Australia,03. Oil products,07. Total final consumption (PJ),937.330698,931.265201,1015.895401,1012.052199,1019.5915,1030.481501,1090.2048,1114.3994,1129.963499,1127.064299,1085.701901,1078.239399,1014.073599,1061.063902,1067.253102,1083.395502,1088.330399,1148.9335,1191.422001,1213.9251,1181.902201,1204.1668,1236.888702,1267.2209,1314.4291,1360.9804,1379.272098,1386.1219,1406.1894,1453.500499,1438.847599,1417.203602,1479.100299,1525.625201,1529.762601,1556.300499,1583.2073,1618.5172010000001,1601.206608,1652.791434,1726.080723,1783.767098,1801.320856,1804.305345,1750.497898,1769.666471,1789.217353,1836.032811,1811.953704,1715.925657,1708.36075,1707.348097,1800.31522,..
Australia,Oil products,Industry (PJ),01. Australia,03. Oil products,08. Industry (PJ),254.565399,237.343198,233.3422,265.4562,246.518102,241.876799,252.933899,241.5008,242.562798,225.218401,190.652599,165.893501,131.0394,135.099399,114.976298,105.832398,105.338402,114.230101,120.251101,120.820401,112.9352,112.3721,115.807102,120.030201,123.5557,131.990599,135.173601,135.416599,138.109,148.529502,142.264002,117.256601,128.673498,126.1725,128.760902,132.727099,127.483501,143.788801,136.106697,132.087465,164.546193,187.195789,192.993297,188.689149,161.821256,157.205183,157.388657,169.876546,175.251422,180.65082,187.907645,190.354277,199.891309,..
Australia,Oil products,Transport (PJ),01. Australia,03. Oil products,09. Transport (PJ),468.326099,485.584101,538.150799,554.318801,576.720199,595.651401,633.7610990000001,668.1347979999999,684.495498,701.0463000000001,712.926801,729.790499,721.3599,748.676199,770.4800990000001,791.3135990000001,803.7513,835.372601,861.201,873.904702,850.4818,871.5627979999999,886.685101,910.079901,947.665399,982.013701,1000.251101,1000.480801,1019.322599,1049.362399,1038.0371,1065.1844,1067.011201,1106.1219,1100.326201,1129.1206,1157.691901,1179.485199,1176.772153,1219.308986,1250.702433,1259.385948,1280.965779,1282.858803,1278.401506,1294.664013,1315.132177,1344.426187,1338.370236,1245.110124,1205.040049,1224.719307,1330.463359,..
Australia,Oil products,Residential (PJ),01. Australia,03. Oil products,10. Residential (PJ),32.303699,32.775602,32.9901,42.169801,47.661602,46.737299,50.6895,46.299899,44.894102,32.823901,24.546899,22.684798,19.812901,18.465299,18.5097,16.905,16.953299,15.642898,15.285898,15.834302,15.6399,16.0401,17.022001,15.578099,15.321302,15.0471,15.1485,14.782799,14.068799,14.639699,14.225101,14.201998,15.078898,13.644601,12.2865,11.013901,13.303498,11.973,15.703799,15.322202,16.039212,15.7238,16.071304,15.827096,15.406813,16.884037,14.843479,14.942216,15.409676,14.881206,15.164975,10.06675,11.275471,..
Australia,Oil products,Commercial and public services (PJ),01. Australia,03. Oil products,11. Commercial and public services (PJ),5.111999,4.899,4.686001,28.217701,27.551401,26.421601,25.206299,23.417099,22.196998,21.216002,17.882999,15.455702,12.483899,10.560001,9.965999,10.059001,9.711299,10.1412,10.4427,10.734302,10.769999,11.8179,12.347698,11.9097,12.020399,12.221399,12.113702,12.399899,12.691501,13.0977,13.080602,19.894501,18.955498,20.713799,20.643901,23.791198,24.473102,25.244101,26.021402,26.1441,27.966555,30.106421,31.185702,32.250041,32.663806,29.828471,30.91346,30.726079,26.984659,27.247519,28.147145,28.874848,30.315606,..
Australia,Oil products,Other final consumption (PJ),01. Australia,03. Oil products,12. Other final consumption (PJ),177.023502,170.663305,206.726302,121.889701,121.140197,119.794396,127.614003,135.0468,135.814098,146.759699,139.692603,144.414903,129.3775,148.262999,153.321002,159.2855,152.576103,173.546699,184.241302,192.631403,192.075303,192.373897,205.026796,209.622999,215.8663,219.707602,216.585199,223.041797,221.9975,227.8712,231.240799,200.666102,249.381198,258.972399,267.745098,259.647697,260.255303,258.026099,246.602557,259.928681,266.826331,291.35515,280.10477,284.68026,262.204517,271.08477,270.93958,276.061786,255.937715,248.035988,272.100936,253.332914,228.369479,..
